Date,Adj Close,Volume,USD_KRX_close,5-year,10-year,20-year,T10Y2Y,VIXCLS
2020-01-02,73.249023,135480400.0,1153.969971,1.67,1.88,2.19,0.3,12.47
2020-01-03,72.536888,146322800.0,1157.150024,1.59,1.8,2.11,0.27,14.02
2020-01-06,73.114883,118387200.0,1165.849976,1.61,1.81,2.13,0.27,13.85
2020-01-07,72.771019,108872000.0,1167.420044,1.62,1.83,2.16,0.29,13.79
2020-01-08,73.941635,132079200.0,1166.459961,1.67,1.87,2.21,0.29,13.45
2020-01-09,75.512215,170108400.0,1161.26001,1.65,1.85,2.17,0.27,12.54
2020-01-10,75.68293,140644800.0,1157.810059,1.63,1.83,2.14,0.27,12.56
2020-01-13,77.299835,121532000.0,1156.930054,1.65,1.85,2.16,0.27,12.32
2020-01-14,76.256042,161954400.0,1153.939941,1.63,1.82,2.12,0.24,12.39
2020-01-15,75.92926,121923600.0,1157.050049,1.6,1.79,2.09,0.23,12.42
2020-01-16,76.880371,108829200.0,1156.780029,1.63,1.81,2.11,0.23,12.32
2020-01-17,77.731522,137816400.0,1158.77002,1.63,1.84,2.16,0.26,12.1
2020-01-21,77.204735,110843200.0,1157.569946,1.57,1.78,2.1,0.25,12.85
2020-01-22,77.480324,101832400.0,1168.73999,1.57,1.77,2.07,0.24,12.91
2020-01-23,77.853455,104472000.0,1163.72998,1.55,1.74,2.03,0.23,12.98
2020-01-24,77.629105,146537600.0,1167.599976,1.51,1.7,2.0,0.21,14.56
2020-01-27,75.346375,161940000.0,1169.150024,1.44,1.61,1.91,0.17,18.23
2020-01-28,77.477882,162234000.0,1176.72998,1.47,1.65,1.95,0.2,16.28
2020-01-29,79.09967,216229200.0,1174.280029,1.41,1.6,1.89,0.18,16.39
2020-01-30,78.985046,126743200.0,1178.079956,1.39,1.57,1.88,0.16,15.49
2020-01-31,75.482956,199588400.0,1187.119995,1.32,1.51,1.83,0.18,18.84
2020-02-03,75.275642,173788400.0,1194.869995,1.35,1.54,1.84,0.18,17.97
2020-02-04,77.760788,136616400.0,1189.359985,1.42,1.61,1.91,0.2,16.05
2020-02-05,78.394875,118826800.0,1182.47998,1.46,1.66,1.97,0.22,15.15
2020-02-06,79.311844,105425600.0,1183.459961,1.45,1.65,1.94,0.21,14.96
2020-02-07,78.23378,117684000.0,1184.25,1.41,1.59,1.89,0.18,15.47
2020-02-10,78.60537,109348800.0,1191.089966,1.38,1.56,1.87,0.19,15.04
2020-02-11,78.131111,94323200.0,1185.630005,1.4,1.59,1.89,0.18,15.18
2020-02-12,79.986557,113730400.0,1180.719971,1.45,1.62,1.93,0.18,13.74
2020-02-13,79.416954,94747600.0,1177.959961,1.43,1.61,1.91,0.17,14.15
2020-02-14,79.436516,80113600.0,1183.469971,1.42,1.59,1.89,0.17,13.68
2020-02-18,77.981995,152531200.0,1183.810059,1.39,1.55,1.85,0.14,14.83
2020-02-19,79.111397,93984000.0,1189.930054,1.41,1.56,1.86,0.14,14.38
2020-02-20,78.299797,100566000.0,1191.369995,1.37,1.52,1.81,0.13,15.56
2020-02-21,76.527458,129554000.0,1204.400024,1.3,1.46,1.75,0.12,17.08
2020-02-24,72.892387,222195200.0,1205.77002,1.21,1.38,1.68,0.12,25.03
2020-02-25,70.42337,230673600.0,1217.650024,1.16,1.33,1.63,0.13,27.85
2020-02-26,71.54055,198054800.0,1214.550049,1.14,1.33,1.64,0.17,27.56
2020-02-27,66.864059,320605600.0,1211.359985,1.11,1.3,1.61,0.19,39.16
2020-02-28,66.824951,426510000.0,1211.310059,0.89,1.13,1.46,0.27,40.11
2020-03-02,73.04641,341397200.0,1200.099976,0.88,1.1,1.46,0.26,33.42
2020-03-03,70.726494,319475600.0,1188.280029,0.77,1.02,1.44,0.31,36.82
2020-03-04,74.007111,219178400.0,1186.339966,0.75,1.02,1.45,0.35,31.99
2020-03-05,71.60656,187572800.0,1183.680054,0.67,0.92,1.34,0.33,39.62
2020-03-06,70.655609,226176800.0,1187.469971,0.58,0.74,1.09,0.25,41.94
2020-03-09,65.067299,286744800.0,1187.699951,0.46,0.54,0.87,0.16,54.46
2020-03-10,69.753548,285290000.0,1199.959961,0.63,0.76,1.16,0.26,47.3
2020-03-11,67.330986,255598800.0,1184.699951,0.66,0.82,1.13,0.32,53.9
2020-03-12,60.681721,418474000.0,1189.390015,0.66,0.88,1.27,0.38,75.47
2020-03-13,67.951912,370732000.0,1209.969971,0.7,0.94,1.31,0.45,57.83
2020-03-16,59.210098,322423600.0,1210.800049,0.49,0.73,1.1,0.37,82.69
2020-03-17,61.813572,324056000.0,1232.040039,0.66,1.02,1.45,0.55,75.91
2020-03-18,60.300373,300233600.0,1237.98999,0.79,1.18,1.6,0.64,76.45
2020-03-19,59.838348,271857200.0,1255.349976,0.66,1.12,1.56,0.68,72.0
2020-03-20,56.039474,401693200.0,1256.880005,0.52,0.92,1.35,0.55,66.04
2020-03-23,54.848969,336752800.0,1253.949951,0.38,0.76,1.12,0.48,61.59
2020-03-24,60.351715,287531200.0,1262.930054,0.52,0.84,1.19,0.46,61.67
2020-03-25,60.019253,303602000.0,1228.599976,0.56,0.88,1.23,0.54,63.95
2020-03-26,63.17765,252087200.0,1231.079956,0.51,0.83,1.2,0.53,61.0
2020-03-27,60.561943,204216800.0,1212.189941,0.41,0.72,1.09,0.47,65.54
2020-03-30,62.29026,167976400.0,1211.630005,0.39,0.7,1.1,0.47,57.08
2020-03-31,62.163147,197002000.0,1222.699951,0.37,0.7,1.15,0.47,53.54
2020-04-01,58.8923,176218400.0,1216.660034,0.37,0.62,1.04,0.39,57.06
2020-04-02,59.875027,165934000.0,1234.72998,0.39,0.63,1.04,0.4,50.91
2020-04-03,59.01453,129880000.0,1226.849976,0.39,0.62,1.05,0.39,46.8
2020-04-06,64.162819,201820400.0,1235.800049,0.44,0.67,1.08,0.4,45.24
2020-04-07,63.419662,202887200.0,1223.099976,0.48,0.75,1.13,0.47,46.7
2020-04-08,65.042877,168895200.0,1215.310059,0.47,0.77,1.18,0.5,43.35
2020-04-09,65.512215,161834800.0,1214.75,0.41,0.73,1.15,0.5,41.67
2020-04-13,66.798058,131022800.0,1211.040039,0.44,0.76,1.19,0.51,41.17
2020-04-14,70.171562,194994800.0,1213.900024,0.42,0.76,1.19,0.53,37.76
2020-04-15,69.531097,131154400.0,1212.380005,0.34,0.63,1.06,0.43,40.84
2020-04-16,70.083565,157125200.0,1222.550049,0.35,0.61,1.01,0.41,40.11
2020-04-17,69.132614,215250000.0,1226.640015,0.36,0.65,1.08,0.45,38.15
2020-04-20,67.697662,130015200.0,1215.26001,0.35,0.63,1.04,0.43,43.83
2020-04-21,65.605118,180991600.0,1218.099976,0.34,0.58,0.98,0.38,45.41
2020-04-22,67.494766,116862400.0,1230.849976,0.37,0.63,1.03,0.41,41.98
2020-04-23,67.233192,124814400.0,1231.380005,0.37,0.61,0.99,0.39,41.38
2020-04-24,69.174179,126161200.0,1232.449951,0.36,0.6,0.98,0.38,35.93
2020-04-27,69.223083,117087600.0,1229.5,0.41,0.67,1.06,0.43,33.29
2020-04-28,68.101006,112004800.0,1220.869995,0.37,0.62,1.0,0.42,33.57
2020-04-29,70.337791,137280800.0,1220.400024,0.36,0.63,1.02,0.43,31.23
2020-04-30,71.821663,183064000.0,1210.790039,0.36,0.64,1.05,0.44,34.15
