Date,Adj Close,2-year,5-year,10-year,T10Y2Y,VIXCLS,STLFSI3
2013-09-30,12.891332626342773,0.33,1.39,2.64,2.31,16.6,
2013-10-01,12.866666793823242,0.33,1.42,2.66,2.33,15.54,
2013-10-02,12.063332557678223,0.31,1.38,2.63,2.32,16.6,
2013-10-03,11.553999900817871,0.33,1.36,2.62,2.29,17.67,
2013-10-04,12.065333366394043,0.33,1.41,2.66,2.33,16.74,-0.2989
2013-10-07,12.204667091369629,0.37,1.41,2.65,2.28,19.41,
2013-10-08,11.648667335510254,0.4,1.43,2.66,2.26,20.34,
2013-10-09,11.251999855041504,0.37,1.43,2.68,2.31,19.6,
2013-10-10,11.528667449951172,0.35,1.44,2.71,2.36,16.48,
2013-10-11,11.91333293914795,0.35,1.42,2.7,2.35,15.72,-0.4386
2013-10-14,11.981332778930664,,,,2.35,16.07,
2013-10-15,12.262666702270508,0.37,1.45,2.75,2.38,18.66,
2013-10-16,12.237333297729492,0.34,1.41,2.69,2.35,14.71,
2013-10-17,12.186667442321777,0.33,1.35,2.61,2.28,13.48,
2013-10-18,12.226667404174805,0.33,1.35,2.6,2.27,13.04,-0.5594
2013-10-21,11.506667137145996,0.33,1.38,2.63,2.3,13.16,
2013-10-22,11.435999870300293,0.31,1.3,2.54,2.23,13.33,
2013-10-23,10.966667175292969,0.31,1.3,2.51,2.2,13.42,
2013-10-24,11.543333053588867,0.33,1.32,2.53,2.2,13.2,
2013-10-25,11.310667037963867,0.32,1.3,2.53,2.21,13.09,-0.5219
2013-10-28,10.857333183288574,0.32,1.31,2.54,2.22,13.31,
2013-10-29,10.964667320251465,0.31,1.29,2.53,2.22,13.41,
2013-10-30,10.614666938781738,0.33,1.3,2.55,2.22,13.65,
2013-10-31,10.662667274475098,0.31,1.31,2.57,2.26,13.75,
2013-11-01,10.811332702636719,0.33,1.37,2.65,2.32,13.28,-0.5835
2013-11-04,11.680000305175781,0.32,1.36,2.63,2.31,12.93,
2013-11-05,11.787332534790039,0.32,1.39,2.69,2.37,13.27,
2013-11-06,10.077333450317383,0.3,1.34,2.67,2.37,12.67,
2013-11-07,9.317999839782715,0.29,1.31,2.63,2.34,13.91,
2013-11-08,9.196666717529297,0.32,1.42,2.77,2.45,12.9,-0.6479
2013-11-11,9.646666526794434,,,,2.45,12.53,
2013-11-12,9.186667442321777,0.34,1.47,2.8,2.46,12.82,
2013-11-13,9.24666690826416,0.32,1.41,2.75,2.43,12.52,
2013-11-14,9.173333168029785,0.29,1.34,2.69,2.4,12.37,
2013-11-15,9.029999732971191,0.31,1.36,2.71,2.4,12.19,-0.6681
2013-11-18,8.10533332824707,0.31,1.33,2.67,2.36,13.1,
2013-11-19,8.406000137329102,0.29,1.37,2.71,2.42,13.39,
2013-11-20,8.074000358581543,0.28,1.39,2.8,2.52,13.4,
2013-11-21,8.140000343322754,0.29,1.38,2.79,2.5,12.66,
2013-11-22,8.092000007629395,0.31,1.37,2.75,2.44,12.26,-0.6725
2013-11-25,8.055999755859375,0.3,1.37,2.74,2.44,12.79,
2013-11-26,8.033332824707031,0.29,1.34,2.71,2.42,12.81,
2013-11-27,8.462667465209961,0.28,1.36,2.74,2.46,12.98,
2013-11-29,8.485333442687988,0.28,1.37,2.75,2.47,13.7,-0.6033
2013-12-02,8.277999877929688,0.3,1.43,2.81,2.51,14.23,
2013-12-03,9.646666526794434,0.28,1.4,2.79,2.51,14.55,
2013-12-04,9.263333320617676,0.3,1.45,2.84,2.54,14.7,
2013-12-05,9.36533260345459,0.3,1.49,2.88,2.58,15.08,
2013-12-06,9.157333374023438,0.3,1.51,2.88,2.58,13.79,-0.5611
2013-12-09,9.4399995803833,0.3,1.5,2.86,2.56,13.49,
2013-12-10,9.47933292388916,0.3,1.46,2.81,2.51,13.91,
2013-12-11,9.3100004196167,0.31,1.5,2.86,2.55,15.42,
2013-12-12,9.83133316040039,0.34,1.55,2.89,2.55,15.54,
2013-12-13,9.84333324432373,0.34,1.55,2.88,2.54,15.76,-0.5412
2013-12-16,9.862667083740234,0.34,1.55,2.89,2.55,16.03,
2013-12-17,10.163999557495117,0.34,1.52,2.85,2.51,16.21,
2013-12-18,9.86533260345459,0.32,1.55,2.89,2.57,13.8,
2013-12-19,9.381333351135254,0.35,1.63,2.94,2.59,14.15,
2013-12-20,9.549332618713379,0.37,1.66,2.89,2.52,13.79,-0.6154
2013-12-23,9.569999694824219,0.38,1.68,2.94,2.56,13.04,
2013-12-24,10.093999862670898,0.38,1.73,2.99,2.61,12.48,
2013-12-26,10.366666793823242,0.42,1.74,3.0,2.58,12.33,
2013-12-27,10.074666976928711,0.4,1.74,3.02,2.62,12.46,-0.7849
2013-12-30,10.162667274475098,0.39,1.71,2.99,2.6,13.56,
2013-12-31,10.028667449951172,0.38,1.75,3.04,2.66,13.72,
2014-01-02,10.006667137145996,0.39,1.72,3.0,2.61,14.23,
2014-01-03,9.970666885375977,0.41,1.73,3.01,2.6,13.76,-0.6189
2014-01-06,9.800000190734863,0.4,1.7,2.98,2.58,13.55,
2014-01-07,9.957332611083984,0.4,1.69,2.96,2.56,12.92,
2014-01-08,10.085332870483398,0.43,1.77,3.01,2.58,12.87,
2014-01-09,9.835332870483398,0.44,1.75,2.97,2.53,12.89,
2014-01-10,9.714667320251465,0.39,1.64,2.88,2.49,12.14,-0.644
2014-01-13,9.28933334350586,0.39,1.6,2.84,2.45,13.28,
2014-01-14,10.751333236694336,0.39,1.65,2.88,2.49,12.28,
2014-01-15,10.942000389099121,0.41,1.68,2.9,2.49,12.28,
2014-01-16,11.39799976348877,0.41,1.66,2.86,2.45,12.53,
2014-01-17,11.333999633789062,0.4,1.64,2.84,2.44,12.44,-0.6064
2014-01-21,11.778667449951172,0.4,1.67,2.85,2.45,12.87,
2014-01-22,11.904000282287598,0.44,1.72,2.87,2.43,12.84,
2014-01-23,12.100000381469727,0.39,1.62,2.79,2.4,13.77,
2014-01-24,11.640000343322754,0.37,1.58,2.75,2.38,18.14,-0.5347
2014-01-27,11.307999610900879,0.37,1.61,2.78,2.41,17.42,
2014-01-28,11.892000198364258,0.38,1.59,2.77,2.39,15.8,
2014-01-29,11.682000160217285,0.36,1.52,2.69,2.33,17.35,
2014-01-30,12.189332962036133,0.36,1.55,2.72,2.36,17.29,
2014-01-31,12.093999862670898,0.34,1.49,2.67,2.33,18.41,-0.3228
2014-02-03,11.807332992553711,0.3,1.44,2.61,2.31,21.44,
2014-02-04,11.915332794189453,0.31,1.46,2.64,2.33,19.11,
2014-02-05,11.628000259399414,0.32,1.5,2.7,2.38,19.95,
2014-02-06,11.892000198364258,0.33,1.52,2.73,2.4,17.23,
2014-02-07,12.435333251953125,0.3,1.47,2.71,2.41,15.29,-0.3505
2014-02-10,13.104000091552734,0.32,1.48,2.7,2.38,15.26,
2014-02-11,13.107999801635742,0.35,1.54,2.75,2.4,14.51,
2014-02-12,13.021332740783691,0.35,1.59,2.8,2.45,14.3,
2014-02-13,13.308667182922363,0.32,1.51,2.73,2.41,14.14,
2014-02-14,13.215332984924316,0.32,1.53,2.75,2.43,13.57,-0.7941
2014-02-18,13.579999923706055,0.31,1.5,2.71,2.4,13.87,
2014-02-19,12.909333229064941,0.33,1.53,2.73,2.4,15.5,
2014-02-20,13.998000144958496,0.34,1.57,2.76,2.42,14.79,
2014-02-21,13.973333358764648,0.33,1.56,2.73,2.4,14.68,-0.6218
2014-02-24,14.510000228881836,0.35,1.57,2.75,2.4,14.23,
2014-02-25,16.53333282470703,0.34,1.53,2.7,2.36,13.67,
2014-02-26,16.866666793823242,0.33,1.5,2.67,2.34,14.35,
2014-02-27,16.836000442504883,0.33,1.49,2.65,2.32,14.04,
2014-02-28,16.320667266845703,0.33,1.51,2.66,2.33,14.0,-0.64
2014-03-03,16.70400047302246,0.32,1.46,2.6,2.28,16.0,
2014-03-04,16.98933219909668,0.33,1.54,2.7,2.37,14.1,
2014-03-05,16.8439998626709,0.33,1.54,2.7,2.37,13.89,
2014-03-06,16.862667083740234,0.37,1.57,2.74,2.37,14.21,
2014-03-07,16.413999557495117,0.38,1.65,2.8,2.42,14.11,-0.6941
2014-03-10,15.922666549682617,0.37,1.64,2.79,2.42,14.2,
2014-03-11,15.62733268737793,0.37,1.62,2.77,2.4,14.8,
2014-03-12,16.099332809448242,0.37,1.59,2.73,2.36,14.47,
2014-03-13,15.852666854858398,0.34,1.53,2.66,2.32,16.22,
2014-03-14,15.39799976348877,0.36,1.55,2.65,2.29,17.82,-0.6329
2014-03-17,15.59866714477539,0.38,1.58,2.7,2.32,15.64,
2014-03-18,16.002666473388672,0.36,1.56,2.68,2.32,14.52,
2014-03-19,15.72266674041748,0.47,1.75,2.78,2.31,15.12,
2014-03-20,15.660667419433594,0.45,1.73,2.79,2.34,14.52,
2014-03-21,15.259332656860352,0.45,1.73,2.75,2.3,15.0,-0.6771
2014-03-24,14.678000450134277,0.47,1.76,2.74,2.27,15.09,
2014-03-25,14.696000099182129,0.47,1.76,2.75,2.28,14.02,
2014-03-26,14.197333335876465,0.45,1.7,2.71,2.26,14.93,
2014-03-27,13.821332931518555,0.45,1.7,2.69,2.24,14.62,
2014-03-28,14.157999992370605,0.45,1.74,2.73,2.28,14.41,-0.614
2014-03-31,13.896666526794434,0.44,1.73,2.73,2.29,13.88,
2014-04-01,14.464667320251465,0.44,1.74,2.77,2.33,13.1,
2014-04-02,15.352666854858398,0.47,1.8,2.82,2.35,13.09,
2014-04-03,15.026666641235352,0.46,1.79,2.8,2.34,13.37,
2014-04-04,14.148667335510254,0.43,1.71,2.74,2.31,13.96,-0.6776
2014-04-07,13.834667205810547,0.41,1.68,2.71,2.3,15.57,
2014-04-08,14.36400032043457,0.4,1.67,2.69,2.29,14.89,
2014-04-09,14.461999893188477,0.37,1.65,2.71,2.34,13.82,
2014-04-10,13.612667083740234,0.37,1.59,2.65,2.28,15.89,
2014-04-11,13.585332870483398,0.37,1.58,2.63,2.26,17.03,-0.4484
2014-04-14,13.206000328063965,0.37,1.61,2.65,2.28,16.11,
2014-04-15,12.927332878112793,0.39,1.63,2.64,2.25,15.61,
2014-04-16,13.27400016784668,0.39,1.67,2.65,2.26,14.18,
2014-04-17,13.208000183105469,0.43,1.75,2.73,2.3,13.36,
2014-04-21,13.625332832336426,0.42,1.74,2.73,2.31,13.25,
2014-04-22,14.576000213623047,0.45,1.76,2.73,2.28,13.19,
2014-04-23,13.866000175476074,0.43,1.73,2.7,2.27,13.27,
2014-04-24,13.857333183288574,0.43,1.74,2.7,2.27,13.32,
2014-04-25,13.323332786560059,0.43,1.72,2.68,2.25,14.06,-0.7904
2014-04-28,13.234000205993652,0.44,1.73,2.7,2.26,13.97,
2014-04-29,13.79466724395752,0.44,1.74,2.71,2.27,13.71,
2014-04-30,13.859333038330078,0.42,1.69,2.67,2.25,13.41,
2014-05-01,13.84866714477539,0.41,1.66,2.63,2.22,13.25,
2014-05-02,14.060667037963867,0.42,1.67,2.6,2.18,12.91,-0.6544
2014-05-05,14.440667152404785,0.43,1.68,2.63,2.2,13.29,
2014-05-06,13.8186674118042,0.43,1.68,2.61,2.18,13.8,
2014-05-07,13.423333168029785,0.41,1.65,2.62,2.21,13.4,
2014-05-08,11.906000137329102,0.4,1.63,2.61,2.21,13.43,
2014-05-09,12.150667190551758,0.4,1.63,2.62,2.22,12.92,-0.6537
2014-05-12,12.311332702636719,0.41,1.67,2.66,2.25,12.23,
2014-05-13,12.677332878112793,0.39,1.62,2.61,2.22,12.13,
2014-05-14,12.708000183105469,0.39,1.57,2.54,2.15,12.17,
2014-05-15,12.572667121887207,0.38,1.55,2.5,2.12,13.17,
2014-05-16,12.77066707611084,0.38,1.56,2.52,2.14,12.44,-0.7009
2014-05-19,13.072667121887207,0.36,1.56,2.54,2.18,12.42,
2014-05-20,13.020000457763672,0.35,1.53,2.52,2.17,12.96,
2014-05-21,13.296667098999023,0.37,1.55,2.54,2.17,11.91,
2014-05-22,13.658666610717773,0.37,1.57,2.56,2.19,12.03,
2014-05-23,13.819999694824219,0.37,1.55,2.54,2.17,11.36,-0.7172
2014-05-27,14.104000091552734,0.39,1.56,2.52,2.13,11.51,
2014-05-28,14.015999794006348,0.37,1.5,2.44,2.07,11.68,
2014-05-29,14.015999794006348,0.37,1.52,2.45,2.08,11.57,
2014-05-30,13.851332664489746,0.37,1.54,2.48,2.11,11.4,-0.7429
2014-06-02,13.646666526794434,0.39,1.6,2.54,2.15,11.58,
2014-06-03,13.662667274475098,0.41,1.65,2.6,2.19,11.87,
